vid	yid	start	end	raw-text	tokenized-text	gloss	split
G2tzMT1j0gI-00:01:46.666-00:01:52.766	G2tzMT1j0gI	00:01:46.666	00:01:52.766	Tell your boss to hire your preferred interpreters or to contract with your preferred interpreting agency.	tell your boss to hire your preferred interpreters or to contract with your preferred interpreting agency	IX have your default prefer interpret default prefer interpret agency inform your boss hey feel prefer that interpret agency cl:5-list.	valid
G2tzMT1j0gI-00:03:08.266-00:03:13.666	G2tzMT1j0gI	00:03:08.266	00:03:13.666	After contacting them you find they are unavailable, your boss should contact others on the list to find out who is available.	after contacting them you find they are unavailable your boss should contact others on the list to find out who is available	IX contact-you IX if_fs not available same again IX boss contact cl:5-list who available cl:5-list 	valid
iD6DQiD2J7I-00:00:33.733-00:00:43.600	iD6DQiD2J7I	00:00:33.733	00:00:43.600	Since around 2004/2006, NAD noticed that more colleges are starting to expand their deaf programs across the nation.	since around 2004/2006 nad noticed that more colleges are starting to expand their deaf programs across the nation	Since NAD_fs since 2004 2006 they wonder that now IX they more college IX start to expand deaf program IX+.	valid
iD6DQiD2J7I-00:02:23.766-00:02:28.133	iD6DQiD2J7I	00:02:23.766	00:02:28.133	Hi, I'm Christy Hediger.	hi i 'm christy hediger	Hi me Christy_fs Hediger_fs.	valid
iD6DQiD2J7I-00:04:05.600-00:04:07.666	iD6DQiD2J7I	00:04:05.600	00:04:07.666	I'm studying for my general studies AAS degree.	i 'm studying for my general studies aas degree	Me study general in AAS_fs degree.	valid
iD6DQiD2J7I-00:06:37.700-00:06:44.733	iD6DQiD2J7I	00:06:37.700	00:06:44.733	By learning their differences and ours, we are represent our state by what we do.	by learning their differences and ours we are represent our state by what we do	IX learn their different and my ours show show represent have state how we do what we do-do through.	valid
1qMSlb1sbXw-00:02:58.600-00:03:04.533	1qMSlb1sbXw	00:02:58.600	00:03:04.533	That's one of the issues we've brought forward, asking for change to become more deaf-friendly, for many reasons.	that 's one of the issues we 've brought forward asking for change to become more deaf friendly for many reasons	That 1 issue we nudge want IX change more deaf+friendly for many reasons.	valid
1qMSlb1sbXw-00:03:29.766-00:03:32.733	1qMSlb1sbXw	00:03:29.766	00:03:32.733	They have been advised to train their staff who are responsible for making calls.	they have been advised to train their staff who are responsible for making calls	Nudge do_fs train their staff who (alt)calling+.	valid
1qMSlb1sbXw-00:04:35.300-00:04:38.400	1qMSlb1sbXw	00:04:35.300	00:04:38.400	Information on how to obtain that position is available in this post.	information on how to obtain that position is available in this post	Information how get that job will available IX with vlog.	valid
tvo5_D7OUOQ-00:00:41.000-00:00:42.100	tvo5_D7OUOQ	00:00:41.000	00:00:42.100	54%	54%	54%	valid
tvo5_D7OUOQ-00:01:09.133-00:01:12.066	tvo5_D7OUOQ	00:01:09.133	00:01:12.066	But that deaf school has three ASL specialists.	but that deaf school has three asl specialists	But we that institute have 3 ASL_fs specialists.	valid
ttn1KkTsZrE-00:00:07.366-00:00:21.633	ttn1KkTsZrE	00:00:07.366	00:00:21.633	Many of you have contacted the NAD Board, Staff, and myself to discuss concerns about deaf programs and schools across the U.S. We agree with these concerns.	many of you have contacted the nad board staff and myself to discuss concerns about deaf programs and schools across the u.s. we agree with these concerns	Many them start contact+me++ NAD_fs board, staff, myself discuss concerns about deaf institution program all-over US_fs understand we (alt)listen wow concerns me-too.	valid
ci-hty7fPhk-00:03:26.100-00:03:33.366	ci-hty7fPhk	00:03:26.100	00:03:33.366	Speaking of Facebook. if you have any information about promotions, happenings, or events in your area, please send them to us and we will post them on our Facebook page.	speaking of facebook if you have any information about promotions happenings or events in your area please send them to us and we will post them on our facebook page	Speak of_fs FB_fs page_fs IX any promotion events action feel free (alt)send-me+ will post on our FB_fs page_fs.	valid
wUEiLfHtMxY-00:00:12.366-00:00:14.000	wUEiLfHtMxY	00:00:12.366	00:00:14.000	What is this week?	what is this week	That week what.	valid
EDlQOtl4fW8-00:05:07.666-00:05:14.666	EDlQOtl4fW8	00:05:07.666	00:05:14.666	This should explain the reason why, along with supporting information, it should be selected as a top priority.	this should explain the reason why along with supporting information it should be selected as a top priority	That IX reason why explain what information support why should select that as high-priority.	valid
H7nga4_DWtE-00:00:28.266-00:00:30.733	H7nga4_DWtE	00:00:28.266	00:00:30.733	Sign language happens in the home.	sign language happens in the home	Sign happen+ IX++ home.	valid
H7nga4_DWtE-00:00:34.300-00:00:38.133	H7nga4_DWtE	00:00:34.300	00:00:38.133	Sign language is the essence of Culture and Identity.	sign language is the essence of culture and identity	Sign tend related-to+ 2 specific culture, identity.	valid
Pfr_DqcuqUY-00:00:28.333-00:00:34.166	Pfr_DqcuqUY	00:00:28.333	00:00:34.166	Even with the cold weather, I was really into construction.	even with the cold weather i was really into construction	Long-ago I work cold build tend attract-to kiss-fist.	valid
Pfr_DqcuqUY-00:05:09.266-00:05:15.500	Pfr_DqcuqUY	00:05:09.266	00:05:15.500	If you have experience as a foreman in construction, that position is similar to supervising.	if you have experience as a foreman in construction that position is similar to supervising	Experience foreman_fs experience construction yes IX experience related-to supervisor boss (2h)same.	valid
NbOzUYY98bI-00:02:44.100-00:02:53.766	NbOzUYY98bI	00:02:44.100	00:02:53.766	Our goal is to include students enrolled in mainstream programs; this is to build confidence in all Deaf Youth in America. 	our goal is to include students enrolled in mainstream programs this is to build confidence in all deaf youth in america	That+ goal it's to (2h)pull-in mainstream school student (2h)1-come-here and to feel self-esteem include them deaf youth of_fs America that.	valid
_GGnds1j594-00:00:47.300-00:00:52.766	_GGnds1j594	00:00:47.300	00:00:52.766	Then, in the second year, I charged five dollars per class. I started to see my class size grow.	then in the second year i charged five dollars per class i started to see my class size grow	2nd year charge 5-dollars dollars for 1 class expand.	valid
_GGnds1j594-00:01:26.300-00:01:35.100	_GGnds1j594	00:01:26.300	00:01:35.100	I went to a mainstreamed program at Madison High School, graduated in 2002.	i went to a mainstreamed program at madison high school graduated in 2002	I mainstream then Madis_fs Madison_fs hs_fs graduated 2002.	valid
_GGnds1j594-00:04:42.633-00:04:48.366	_GGnds1j594	00:04:42.633	00:04:48.366	With my program, it’s usually the first time hearing students meet a deaf person.	with my program it ’s usually the first time hearing students meet a deaf person	Me can process program for hearing (2h)come-on IX look 1st time OIC deaf.	valid
eomix44nL8Y-00:00:36.266-00:00:39.533	eomix44nL8Y	00:00:36.266	00:00:39.533	We've been discussing policy of using interpreters.	we 've been discussing policy of using interpreters	How policy use interpreter me discuss about.	valid
eomix44nL8Y-00:00:50.066-00:00:52.700	eomix44nL8Y	00:00:50.066	00:00:52.700	What was the result after that?	what was the result after that	Do-do was_fs result after that+IX.	valid
eomix44nL8Y-00:01:12.533-00:01:19.300	eomix44nL8Y	00:01:12.533	00:01:19.300	That's where most leaders gathered at that time, including many superintendents.	that 's where most leaders gathered at that time including many superintendents	That where IX most lead gather-to that time past many president.	valid
UWXr2fAbrUA-00:00:51.166-00:00:55.366	UWXr2fAbrUA	00:00:51.166	00:00:55.366	If you go to a hospital room, make sure that room is an area with strong WiFi.	if you go to a hospital room make sure that room is an area with strong wifi	If go hospital room make sure IX strong cl:absorb-to-1++ cl:wifi-bar wiwi_fs.	valid
RdDlFuOSvWQ-00:02:16.533-00:02:19.366	RdDlFuOSvWQ	00:02:16.533	00:02:19.366	So for those of you attending the NAD conference, come join us!	so for those of you attending the nad conference come join us	So who them there NAD_fs conference come join us_fs.	valid
Uy-9Iz-8xjw-00:01:50.733-00:01:53.633	Uy-9Iz-8xjw	00:01:50.733	00:01:53.633	The person was forced to use VRI while lying down.	the person was forced to use vri while lying down	IX force cl:tablet VRI_fs lay-down.	valid
yCTSy-JKKm4-00:00:14.633-00:00:28.533	yCTSy-JKKm4	00:00:14.633	00:00:28.533	I am looking forward to this Saturday to go in town where there will be a gathering with other deaf people.	i am looking forward to this saturday to go in town where there will be a gathering with other deaf people	Me can't wait next now Saturday far-away town deaf (alt)far-away+ gather-to for visit+.	valid
yCTSy-JKKm4-00:00:52.100-00:01:04.533	yCTSy-JKKm4	00:00:52.100	00:01:04.533	This became a custom of ours where we learn of what has or is happening among various deaf communities.	this became a custom of ours where we learn of what has or is happening among various deaf communities	That become custom deaf (alt)far-away+ me learn+ always love different town (alt)far-away+ (alt)crowd-to++ love that.	valid
yCTSy-JKKm4-00:01:04.533-00:01:15.733	yCTSy-JKKm4	00:01:04.533	00:01:15.733	Our community always has the same customs which includes performances, lectures, storytelling and even poetry in sign language.	our community always has the same customs which includes performances lectures storytelling and even poetry in sign language	Same things always crowd-to love performance, lecture, story, sign poems_fs.	valid
kjhsBjBQWO0-00:01:07.233-00:01:11.433	kjhsBjBQWO0	00:01:07.233	00:01:11.433	As of recent, it became apparent that NAD needed to pursue a lawsuit against Netflix. 	as of recent it became apparent that nad needed to pursue a lawsuit against netflix	Recent NAD_fs realize must do-do sue netflix_fs.	valid
t386fjyHvkE-00:01:23.600-00:01:35.166	t386fjyHvkE	00:01:23.600	00:01:35.166	Some are facing permanent closure, such as New York with the 4201 system being completely transferred to the school district, fully changing its system.	some are facing permanent closure such as new york with the 4201 system being completely transferred to the school district fully changing its system	Some look-at at awe closed same NY_fs with 4201 system plan transfer completely transfer to school district. Awe change system.	valid
t386fjyHvkE-00:09:30.433-00:09:32.733	t386fjyHvkE	00:09:30.433	00:09:32.733	This is why I discuss the three prongs.	this is why i discuss the three prongs	That why I discuss 3 prongs_fs.	valid
dKgSFC1CVsA-00:00:54.600-00:01:11.266	dKgSFC1CVsA	00:00:54.600	00:01:11.266	The group was to negotiate among themselves to develop proposed rules addressing accessible in-flight entertainment and communications, accessible lavatories, and service animals.	the group was to negotiate among themselves to develop proposed rules addressing accessible in flight entertainment and communications accessible lavatories and service animals	cl:5-list get-together get-hold-of must negotiate inside group discuss and develop propose rules relate-to cl:3-list cl:1st-of-3 access+able in+flight entertainment and communication, cl:2nd-of-3 access+able bathroom, cl:3rd-of-3 service animals. 	valid
dKgSFC1CVsA-00:03:16.700-00:03:29.233	dKgSFC1CVsA	00:03:16.700	00:03:29.233	Historically, deaf and hard of hearing passengers have not had access to various airline announcements. The taskforce will conduct a study to see what technology is available to solve this issue and provide equal access.	historically deaf and hard of hearing passengers have not had access to various airline announcements the taskforce will conduct a study to see what technology is available to solve this issue and provide equal access	Now since airplane announce+listen (2h)talking deaf HH passenger (2h)cl:1-pass-head now taskforce will study how equal will (alt)look-at+ available technology.	valid
OtSXwPwHRx4-00:01:21.666-00:01:33.100	OtSXwPwHRx4	00:01:21.666	00:01:33.100	You can get involved by looking for the DGM Facebook page in your state, and find where, what city, and what time to meet.	you can get involved by looking for the dgm facebook page in your state and find where what city and what time to meet	IX how involve look-at DGM_fs state represent FB_fs IX find out_fs +IX where corner which city when time (2h)look-at.	valid
mZr-T0Ci2EY-00:00:04.466-00:00:12.266	mZr-T0Ci2EY	00:00:04.466	00:00:12.266	Whether they go to jail or prison, they must remain there until they receive their sentence or serve their sentence.	whether they go to jail or prison they must remain there until they receive their sentence or serve their sentence	Jail not-matter jail_fs prison_fs someone arrest place-in wait until punish or_fs place-in henceforth punish either.	valid
vKTkxuH_O9k-00:02:41.033-00:02:44.733	vKTkxuH_O9k	00:02:41.033	00:02:44.733	I love their stories and gain new perspective!	i love their stories and gain new perspective	Think that story real what make me feel OIC.	valid
G4OkVnUWgIw-00:00:39.066-00:00:53.633	G4OkVnUWgIw	00:00:39.066	00:00:53.633	If the doctor does not provide an interpreter or captionist, please contact: telehealth@dhhcan.org.	if the doctor does not provide an interpreter or captionist please contact telehealth@dhhcan.org	If doctor refuse provide interpret caption for IX cl:video videophone please check IX telehealth_fs @dhhcan.org_fs.	valid
G4OkVnUWgIw-00:02:39.333-00:02:49.233	G4OkVnUWgIw	00:02:39.333	00:02:49.233	When you start the telehealth appointment with your doctor, you should see the doctor clearly on the screen.	when you start the telehealth appointment with your doctor you should see the doctor clearly on the screen	Ready call-out or call-in cl:video videophone cl:video+IX see doctor clear look-at.	valid
y7KIrON1uco-00:00:29.133-00:00:30.200	y7KIrON1uco	00:00:29.133	00:00:30.200	Here are the top stories.	here are the top stories	Important story cl:5-list+recite.	valid
y7KIrON1uco-00:07:08.433-00:07:10.633	y7KIrON1uco	00:07:08.433	00:07:10.633	An opening date has not yet been announced.	an opening date has not yet been announced	Open when_fs not-yet announce.	valid
4KDsWM3PBFo-00:01:43.366-00:01:48.200	4KDsWM3PBFo	00:01:43.366	00:01:48.200	Lawmakers are getting in on the protest too, demanding answers.	lawmakers are getting in on the protest too demanding answers	Law+writers don't-like what join (alt)protest+ command IX nudge hmm why.	valid
cfpYnacUBGY-00:05:07.600-00:05:18.233	cfpYnacUBGY	00:05:07.600	00:05:18.233	Of all age groups, adults 25 to 64 years old saw the largest increase in mortality rates, by 6-percent.	of all age groups adults 25 to 64 years old saw the largest increase in mortality rates by 6-percent	(2h)All_fs age+group area adult age 25 to 64 phase notice largest group area increased them people die+ percent now 6%.	valid
cfpYnacUBGY-00:05:37.100-00:05:40.100	cfpYnacUBGY	00:05:37.100	00:05:40.100	But the increase slowed over time.	but the increase slowed over time	cl:Increase cl:plateau.	valid
H3_xg8U_iAY-00:01:04.066-00:01:11.800	H3_xg8U_iAY	00:01:04.066	00:01:11.800	In April, after a pregnant woman was killed, an emergency c-section was performed. The baby has been in critical condition since.	in april after a pregnant woman was killed an emergency c section was performed the baby has been in critical condition since	Past April_fs person kill mother baby cl:surgery-belly cl:baby-out bring hospital deep serious take-care since.	valid
TMsVV9Y4wRM-00:08:30.766-00:08:50.200	TMsVV9Y4wRM	00:08:30.766	00:08:50.200	Pitcher Ty Kohen struck out his good friend Jack Kocon on the opposing team to end the game.	pitcher ty kohen struck out his good friend jack kocon on the opposing team to end the game	Pitcher name Ty_fs Kohen_fs his good friend best-friend name Jack_fs Kocon_fs IX 1-over-there opposite team IX baseball pitcher cl:hold-bat cl:throw-ball-fly cl:hold-bat cl:1-to-mitt cl:S-to-mitt out end game finish.	valid
TMsVV9Y4wRM-00:09:51.700-00:10:01.700	TMsVV9Y4wRM	00:09:51.700	00:10:01.700	Kohen says he wanted Kocon to know their friendship is more important than the outcome of the game.	kohen says he wanted kocon to know their friendship is more important than the outcome of the game	Kohen_fs IX want his friend know that game result win lose fx:doesn't-matter his friend cherish important specific.	valid
J-0KHhPS_m4-00:02:47.200-00:02:52.633	J-0KHhPS_m4	00:02:47.200	00:02:52.633	During a press conference, the Justice Department laid out the details of the fraudulent scheme.	during a press conference the justice department laid out the details of the fraudulent scheme	During press_fs conference justice group details cl:5-list+recite specific fraud plan.	valid
J-0KHhPS_m4-00:09:29.100-00:09:35.600	J-0KHhPS_m4	00:09:29.100	00:09:35.600	After being left unsupervised, four escaped out the front door of the facility.	after being left unsupervised four escaped out the front door of the facility	Building+IX front door_fs none-1 watch 4-them escaped.	valid
J-0KHhPS_m4-00:12:08.733-00:12:20.433	J-0KHhPS_m4	00:12:08.733	00:12:20.433	The group pulled data from 14 other studies that looked at the effectiveness of PACE labeling and calorie reduction.	the group pulled data from 14 other studies that looked at the effectiveness of pace labeling and calorie reduction	Group 14 different++ study share information (alt)throw-in+ (alt)look-in+ analyze pace_fs label calories_fs reduction 1-it effective.	valid
J-0KHhPS_m4-00:15:16.500-00:15:36.433	J-0KHhPS_m4	00:15:16.500	00:15:36.433	"Many believe Friday the 13th started in the 20th century after a man named Thomas Lawson wrote a book entitled ""Friday the Thirteenth"" about a stockbroker who chooses this day to deliberately crash the stock market."	many believe friday the 13th started in the 20th century after a man named thomas lawson wrote a book entitled friday the thirteenth about a stockbroker who chooses this day to deliberately crash the stock market	Many people believe Friday 13 start 20 century specific man name Thomas_fs Lawson_fs write book title Friday_fs the_fs thirteenth_fs that relate stockbroker_fs IX select now what think look-at stock_fs market_fs crash.	valid
kYfAQOobaxI-00:00:46.633-00:00:50.066	kYfAQOobaxI	00:00:46.633	00:00:50.066	A female driver dropping off food.	a female driver dropping off food	Driver herself woman IX food drop-off.	valid
0JCeMZ4Q3XQ-00:05:09.566-00:05:36.033	0JCeMZ4Q3XQ	00:05:09.566	00:05:36.033	Tropical Storm Karen sparked warnings for Saint Vincent, the Grenadines, Grenada and territories.	tropical storm karen sparked warnings for saint vincent the grenadines grenada and territories	Tropical_fs storm Karen_fs IX finish clear (alt)nudge+ warn+++ cl:4-list area where cl:4-list cl:1st-of-4 Saint_fs Vincent_fs, cl:1st-of-4 cl:2nd-of-4 the_fs Grenadines_fs, cl:3rd-of-4 Grenada_fs, cl:4th-of-4 4th cl:4th-of-4 some area IX+++ cl:4-list warn++++.	valid
PY8a3Q_GB1c-00:01:15.066-00:01:39.000	PY8a3Q_GB1c	00:01:15.066	00:01:39.000	Supply giants Home Depot and Lowe's have both activated hurricane command centers to make sure area stores are well-stocked before and after the storm.	supply giants home depot and lowe 's have both activated hurricane command centers to make sure area stores are well stocked before and after the storm	2 big thing store cl:2-list cl:1st-of-2 home_fs dept_fs hd_fs cl:1st-of-2 cl:2nd-of-2 lowe's_fs cl:2-these-two cause ready set-up+ hurricane manage center IX command check store IX++ make sure have big-amount wood supplies etc cl:stock-up+ before after hurricane hit continue none run-out continue cl:stock-up+.	valid
PY8a3Q_GB1c-00:05:39.633-00:05:45.000	PY8a3Q_GB1c	00:05:39.633	00:05:45.000	The picture posted on Facebook has been viewed nearly 3 million times.	the picture posted on facebook has been viewed nearly 3 million times	IX picture post FB_fs will almost over future 3 million views.	valid
PY8a3Q_GB1c-00:07:03.100-00:07:14.066	PY8a3Q_GB1c	00:07:03.100	00:07:14.066	Many burn victims from the Pentagon went to a specific hospital because it specialized in treating burns.	many burn victims from the pentagon went to a specific hospital because it specialized in treating burns	Many patients from Pentagon_fs burn patients crowded to specific hospital why? specialize burn.	valid
PY8a3Q_GB1c-00:08:41.266-00:08:58.433	PY8a3Q_GB1c	00:08:41.266	00:08:58.433	I could see smoke in the sky from my car but I couldn't see much because there were lots of television live trucks and reporters lined up along the side of the road.	i could see smoke in the sky from my car but i could n't see much because there were lots of television live trucks and reporters lined up along the side of the road	Saw smoke cl:smoke drive cl:5-claw-on-ground++ can't see cl:other-side why? cl:5-claws-on-ground++ van_fs truck with tv_fs cl:camera-stand cl:camera microphone cl:5-claw++ can't see cl:drive-by.	valid
PY8a3Q_GB1c-00:10:57.633-00:10:58.566	PY8a3Q_GB1c	00:10:57.633	00:10:58.566	I can't believe it.	i ca n't believe it	Can't believe.	valid
Glzf4l942RQ-00:00:29.733-00:00:31.133	Glzf4l942RQ	00:00:29.733	00:00:31.133	Welcome to Sign1News.	welcome to sign1news	Welcome Sign 1 News_fs.	valid
NOKlX2CRNfk-00:05:22.200-00:05:24.600	NOKlX2CRNfk	00:05:22.200	00:05:24.600	They're being held without bond.	they 're being held without bond	2-them IX jail none bond_fs.	valid
S4XbLn_o6OY-00:04:53.000-00:05:02.633	S4XbLn_o6OY	00:04:53.000	00:05:02.633	At a Sunday news conference, a police spokesperson declined to say if the woman, shot by an officer, was armed at the time of the shooting.	at a sunday news conference a police spokesperson declined to say if the woman shot by an officer was armed at the time of the shooting	Sunday news_fs conference police speaker mum what comment or woman specific have weapons_fs that specific that why police shot.	valid
S4XbLn_o6OY-00:06:54.433-00:06:57.600	S4XbLn_o6OY	00:06:54.433	00:06:57.600	But there's no indication if he actually showed up.	but there 's no indication if he actually showed up	But_fs IX none comment IX show-up or not.	valid
smq7BzXmIkE-00:00:10.266-00:00:11.666	smq7BzXmIkE	00:00:10.266	00:00:11.666	I'm Candace Jones.	i 'm candace jones	Me cl:L-flick-side-of-chin	valid
smq7BzXmIkE-00:04:39.400-00:04:51.133	smq7BzXmIkE	00:04:39.400	00:04:51.133	One passenger says when he/she realized he/she was filming him/her, he/she knocked the phone out of his/her hand and started choking him/her angrily.	one passenger says when he she realized he she was filming him her he she knocked the phone out of his her hand and started choking him her angrily	One sit IX comment happen IX realize IX film-me IX mad think+missing IX phone filming cl:smack-the-phone cl:B-phone-fell-to-ground start choking.	valid
smq7BzXmIkE-00:06:14.166-00:06:19.500	smq7BzXmIkE	00:06:14.166	00:06:19.500	China insists it's the injured party and demands a fair increase.	china insists it 's the injured party and demands a fair increase	China huh innocent none choice IX increased must fair increased ~fair~.	valid
smq7BzXmIkE-00:10:01.400-00:10:02.066	smq7BzXmIkE	00:10:01.400	00:10:02.066	Take a look.	take a look	Video HO.	valid
i96QICT6BiU-00:00:24.333-00:00:25.566	i96QICT6BiU	00:00:24.333	00:00:25.566	Hello everyone.	hello everyone	Hello welcome (2h)out-there.	valid
7f96j98SBos-00:01:08.366-00:01:21.533	7f96j98SBos	00:01:08.366	00:01:21.533	His father, Victor, says he is overwhelmed by the love and support the family has received and it helps ease the pain of losing his son.	his father victor says he is overwhelmed by the love and support the family has received and it helps ease the pain of losing his son	His/her father IX name Victor_fs IX comment wow overwhelm your love support them family that help grief less hand-on-heart IX son gone.	valid
7f96j98SBos-00:01:21.766-00:01:33.666	7f96j98SBos	00:01:21.766	00:01:33.666	However the family also says they are trying to navigate through this extremely heart-wrenching time and have asked for privacy to grieve and make arrangements for his funeral.	however the family also says they are trying to navigate through this extremely heart wrenching time and have asked for privacy to grieve and make arrangements for his funeral	But you-all comment still figure-out IX-heart grief process they ask respect time private IX time grief+ process plus funeral plan for IX.	valid
7f96j98SBos-00:02:12.033-00:02:15.600	7f96j98SBos	00:02:12.033	00:02:15.600	Person A refuses and person B calls the police.	person a refuses and person b calls the police	IX refuse IX call police.	valid
7f96j98SBos-00:04:30.200-00:04:37.000	7f96j98SBos	00:04:30.200	00:04:37.000	The team was ceremoniously granted the keys to the city in front of City Hall.	the team was ceremoniously granted the keys to the city in front of city hall	Front IX city_fs city hall_fs IX celebrate key out-there city grant honor area+group.	valid
7f96j98SBos-00:04:44.066-00:04:53.366	7f96j98SBos	00:04:44.066	00:04:53.366	The first parade was held in July 2015 after the women's national team defeated Japan 5-2, winning the World Cup.	the first parade was held in july 2015 after the women 's national team defeated japan 5 2 winning the world cup	Hey first parade last July_fs 2015 honor area women national group defeat Japan 5 - 2 win world cup.	valid
7f96j98SBos-00:06:02.800-00:06:10.100	7f96j98SBos	00:06:02.800	00:06:10.100	Check out Snowball the dancing cockatoo!	check out snowball the dancing cockatoo	Cocktatoo_fs bird IX name Snowball_fs IX dancing hey look-at+IX.	valid
7f96j98SBos-00:07:35.133-00:07:36.466	7f96j98SBos	00:07:35.133	00:07:36.466	Your language.	your language	Your-all language sign.	valid
7IONUnzZCzk-00:01:30.266-00:01:50.233	7IONUnzZCzk	00:01:30.266	00:01:50.233	Southern California surgeon Dr. Grant Robicheaux and his girlfriend Cerissa Riley were arrested earlier this week in Newport Beach.	southern california surgeon dr. grant robicheaux and his girlfriend cerissa riley were arrested earlier this week in newport beach	Recent now+week newport_fs beach IX South California cl:2-list cl:1st-of-1 surgeon dr_fs Grant_fs Robicheaux_fs cl:2nd-of-2 his girlfriend Cerissa_fs Riley_fs couple 2-them finish arrested.	valid
7IONUnzZCzk-00:05:38.300-00:05:55.000	7IONUnzZCzk	00:05:38.300	00:05:55.000	Firefighter Mary Schidlowsky said her crew was battling a wildfire with a waterhose last month when the towering flames and smoke got caught up in a whirlwind.	firefighter mary schidlowsky said her crew was battling a wildfire with a waterhose last month when the towering flames and smoke got caught up in a whirlwind	Firefighter specific person name Mary_fs Schidlowsky_fs IX comment what? past month 1 fire burn IX what? water cl:hold happen hit IX fire burn smoke swirl-up.	valid
7IONUnzZCzk-00:07:39.700-00:07:41.533	7IONUnzZCzk	00:07:39.700	00:07:41.533	And those are your top stories for today.	and those are your top stories for today	Important stories++ finish.	valid
x7ieo_bLOt8-00:07:02.100-00:07:04.733	x7ieo_bLOt8	00:07:02.100	00:07:04.733	The film will be released in July.	the film will be released in july	That film send-out eventually July_fs.	valid
x7ieo_bLOt8-00:07:11.666-00:07:13.700	x7ieo_bLOt8	00:07:11.666	00:07:13.700	Thank you for watching Sign1News.	thank you for watching sign1news	Thank-you (2h)watching Sign1News.	valid
7Ed0xWifFhk-00:03:25.466-00:03:35.166	7Ed0xWifFhk	00:03:25.466	00:03:35.166	According to police his real identity is 21-year-old Darin Schilmiller from Indiana.	according to police his real identity is 21-year-old darin schilmiller from indiana	Follow police comment what+that person really identify name Darin_fs Schilmiller_fs specific age 21 himself live where IX Ind_fs.	valid
7Ed0xWifFhk-00:05:13.100-00:05:14.000	7Ed0xWifFhk	00:05:13.100	00:05:14.000	"USA!"""	usa	USA_fs.	valid
7Ed0xWifFhk-00:06:25.666-00:06:29.266	7Ed0xWifFhk	00:06:25.666	00:06:29.266	Last week they decided to kill the bear.	last week they decided to kill the bear	Last week they decide kill IX bear.	valid
7Ed0xWifFhk-00:07:26.733-00:07:27.766	7Ed0xWifFhk	00:07:26.733	00:07:27.766	Your life.	your life	Your-all life.	valid
3h7veASAUaw-00:05:06.733-00:05:20.000	3h7veASAUaw	00:05:06.733	00:05:20.000	Lawyers for the accused workers deny any wrongdoing, saying they did their jobs to the best of their ability during a natural disaster emergency.	lawyers for the accused workers deny any wrongdoing saying they did their jobs to the best of their ability during a natural disaster emergency	Law protect them+group manage nurse+them lawyer look-at what them nothing wrong happen show-up awful national disaster emergency action work try their best.	valid
3h7veASAUaw-00:05:51.133-00:06:02.133	3h7veASAUaw	00:05:51.133	00:06:02.133	Bivens plays for the Montgomery Biscuits, a minor league club of the Tampa Bay Rays organization.	bivens plays for the montgomery biscuits a minor league club of the tampa bay rays organization	Bivens_fs itself baseball player with Montogomery_fs biscuits_fs that+IX minor_fs group iX tampa_fs bay_fs rays_fs group+them.	valid
3h7veASAUaw-00:06:38.400-00:06:48.500	3h7veASAUaw	00:06:38.400	00:06:48.500	According to ESPN, the suspect is Bivens' eighteen-year-old brother-in-law, Matthew Bernard.	according to espn the suspect is bivens eighteen-year-old brother in law matthew bernard	According ESPN_fs suspect who? maybe Biven_fs his wife's brother name Matthew_fs Bernard_fs IX age 18.	valid
3h7veASAUaw-00:11:20.066-00:11:20.433	3h7veASAUaw	00:11:20.066	00:11:20.433	Your language.	your language	Your-all language sign.	valid
XH50c6aFmzE-00:00:33.066-00:00:34.066	XH50c6aFmzE	00:00:33.066	00:00:34.066	I'm Candace Jones.	i 'm candace jones	Me cl:L-flick-side-of-chin	valid
XH50c6aFmzE-00:00:39.600-00:00:53.300	XH50c6aFmzE	00:00:39.600	00:00:53.300	Police in Kentucky say 20-year-old Tyrese Garvin died in the same hospital where he had just become a father.	police in kentucky say 20-year-old tyrese garvin died in the same hospital where he had just become a father	Man IX name Tyrese_fs Garvin_fs age 20 recent become father IX KY_fs police comment baby born father died IX same hospital.	valid
XH50c6aFmzE-00:01:45.666-00:01:53.000	XH50c6aFmzE	00:01:45.666	00:01:53.000	Police arrested three people ages 14 to 17 in connection with the shooting.	police arrested three people ages 14 to 17 in connection with the shooting	Police finish arrested 3 people age range 14 span-to 17 suspension they involved (2h)shooting.	valid
XH50c6aFmzE-00:02:25.400-00:02:43.633	XH50c6aFmzE	00:02:25.400	00:02:43.633	"As he walked into North Korea's demilitarized zone, North Korean president Kim Jong Un was overheard telling Trump, ""It's good to see you again."""	as he walked into north korea's demilitarized zone north korean president kim jong un was overheard telling trump it 's good to see you again	North Korea 1-its surrounding military cl:4-row military nothing IX stand cl:walk something heard IX North Korea president Kim_fs Jong_fs Un_fs IX whisper inform Trump_fs IX comment what? nah good see you again.	valid
XH50c6aFmzE-00:04:01.733-00:04:17.633	XH50c6aFmzE	00:04:01.733	00:04:17.633	Authorities in Virginia say Julia Tomlin, the mother of missing two-year-old Noah Tomlin, has been arrested in his disappearance.	authorities in virginia say julia tomlin the mother of missing two-year-old noah tomlin has been arrested in his disappearance	Specific boy 2-years-old name Noah_fs Tomlin_fs IX search disappear fade-out police supreme IX VA_fs comment IX boy's mother specific name Julia_fs Tomlin_fs finish since arrest.	valid
